code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages,scores_per_age_genders,num_per_ages_genders,scores_per_ages,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
164269,토이무비: 미래대모험,8.0,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,6.33,8.0,"[0.0, 0.0, 8.0, 6.33, 0.0]","[38, 62]","[0, 0, 62, 38, 0]","[0.0, 0.0, 0.0, 0.0, 3.04, 4.96, 2.41, 3.92, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 23.56, 38.44, 14.44, 23.56, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.96, 3.04, 0.0, 0.0, 0.0, 3.92, 2.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,3.04,4.96,2.41,3.92,0.0,0.0,0.0,0.0,0.0,0.0,23.56,38.44,14.44,23.56,0.0,0.0,0.0,0.0,4.96,2.41,0.0
159366,호랑이보다 무서운 겨울손님,61.0,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.56,8.18,"[7.5, 7.36, 7.67, 9.12, 8.5]","[26, 74]","[3, 41, 39, 13, 3]","[1.95, 5.55, 1.91, 5.45, 1.99, 5.68, 2.37, 6.75, 2.21, 6.29]","[0.78, 2.22, 10.66, 30.34, 10.14, 28.86, 3.38, 9.62, 0.78, 2.22]","[0.23, 3.08, 2.92, 0.97, 0.23, 0.22, 3.02, 2.87, 0.96, 0.22, 0.23, 3.14, 2.99, 1.0, 0.23, 0.27, 3.74, 3.56, 1.19, 0.27, 0.26, 3.48, 3.31, 1.1, 0.26]",1.95,5.55,1.91,5.45,1.99,5.68,2.37,6.75,2.21,6.29,0.78,2.22,10.66,30.34,10.14,28.86,3.38,9.62,0.78,2.22,0.23,3.02,2.99,1.19,0.26
162874,원더스트럭,32.0,"이 영화는 30대 여성이 좋아하는 영상미, 연출이 뛰어난 영화입니다.",7.78,7.0,"[0.0, 6.08, 8.0, 8.6, 6.33]","[28, 72]","[0, 38, 38, 16, 9]","[0.0, 0.0, 1.7, 4.38, 2.24, 5.76, 2.41, 6.19, 1.77, 4.56]","[0.0, 0.0, 10.64, 27.36, 10.64, 27.36, 4.48, 11.52, 2.52, 6.48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.31, 2.31, 0.97, 0.55, 0.0, 3.04, 3.04, 1.28, 0.72, 0.0, 3.27, 3.27, 1.38, 0.77, 0.0, 2.41, 2.41, 1.01, 0.57]",0.0,0.0,1.7,4.38,2.24,5.76,2.41,6.19,1.77,4.56,0.0,0.0,10.64,27.36,10.64,27.36,4.48,11.52,2.52,6.48,0.0,2.31,3.04,1.38,0.57
158180,그것만이 내 세상,5432.0,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.2,9.15,"[9.22, 9.15, 9.15, 9.2, 9.25]","[45, 55]","[3, 47, 25, 19, 7]","[4.15, 5.07, 4.12, 5.03, 4.12, 5.03, 4.14, 5.06, 4.16, 5.09]","[1.35, 1.65, 21.15, 25.85, 11.25, 13.75, 8.55, 10.45, 3.15, 3.85]","[0.28, 4.33, 2.31, 1.75, 0.65, 0.27, 4.3, 2.29, 1.74, 0.64, 0.27, 4.3, 2.29, 1.74, 0.64, 0.28, 4.32, 2.3, 1.75, 0.64, 0.28, 4.35, 2.31, 1.76, 0.65]",4.15,5.07,4.12,5.03,4.12,5.03,4.14,5.06,4.16,5.09,1.35,1.65,21.15,25.85,11.25,13.75,8.55,10.45,3.15,3.85,0.28,4.3,2.29,1.75,0.65
167638,완벽한 타인,9479.0,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.21,8.98,"[9.32, 9.21, 9.01, 8.81, 8.74]","[42, 58]","[4, 52, 24, 14, 6]","[3.91, 5.41, 3.87, 5.34, 3.78, 5.23, 3.7, 5.11, 3.67, 5.07]","[1.68, 2.32, 21.84, 30.16, 10.08, 13.92, 5.88, 8.12, 2.52, 3.48]","[0.37, 4.85, 2.24, 1.3, 0.56, 0.37, 4.79, 2.21, 1.29, 0.55, 0.36, 4.69, 2.16, 1.26, 0.54, 0.35, 4.58, 2.11, 1.23, 0.53, 0.35, 4.54, 2.1, 1.22, 0.52]",3.91,5.41,3.87,5.34,3.78,5.23,3.7,5.11,3.67,5.07,1.68,2.32,21.84,30.16,10.08,13.92,5.88,8.12,2.52,3.48,0.37,4.79,2.16,1.23,0.52
180209,기방도령,159.0,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.47,7.46,"[10.0, 7.12, 7.69, 6.24, 6.81]","[37, 63]","[1, 33, 32, 24, 10]","[3.7, 6.3, 2.63, 4.49, 2.85, 4.84, 2.31, 3.93, 2.52, 4.29]","[0.37, 0.63, 12.21, 20.79, 11.84, 20.16, 8.88, 15.12, 3.7, 6.3]","[0.1, 3.3, 3.2, 2.4, 1.0, 0.07, 2.35, 2.28, 1.71, 0.71, 0.08, 2.54, 2.46, 1.85, 0.77, 0.06, 2.06, 2.0, 1.5, 0.62, 0.07, 2.25, 2.18, 1.63, 0.68]",3.7,6.3,2.63,4.49,2.85,4.84,2.31,3.93,2.52,4.29,0.37,0.63,12.21,20.79,11.84,20.16,8.88,15.12,3.7,6.3,0.1,2.35,2.46,1.5,0.68
161834,해피뻐스데이,2.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.0,10.0,"[0.0, 10.0, 9.0, 0.0, 0.0]","[50, 50]","[0, 50, 50, 0, 0]","[0.0, 0.0, 5.0, 5.0, 4.5, 4.5, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 25.0, 25.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 4.5, 4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,5.0,5.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,0.0,0.0
172454,곤지암,2457.0,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,7.62,7.37,"[7.78, 7.71, 7.26, 6.71, 7.25]","[54, 46]","[5, 61, 22, 9, 3]","[4.2, 3.58, 4.16, 3.55, 3.92, 3.34, 3.62, 3.09, 3.92, 3.33]","[2.7, 2.3, 32.94, 28.06, 11.88, 10.12, 4.86, 4.14, 1.62, 1.38]","[0.39, 4.75, 1.71, 0.7, 0.23, 0.39, 4.7, 1.7, 0.69, 0.23, 0.36, 4.43, 1.6, 0.65, 0.22, 0.34, 4.09, 1.48, 0.6, 0.2, 0.36, 4.42, 1.59, 0.65, 0.22]",4.2,3.58,4.16,3.55,3.92,3.34,3.62,3.09,3.92,3.33,2.7,2.3,32.94,28.06,11.88,10.12,4.86,4.14,1.62,1.38,0.39,4.7,1.6,0.6,0.22
158112,골든슬럼버,926.0,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.05,6.42,"[5.98, 6.01, 6.55, 6.46, 7.1]","[43, 57]","[6, 52, 21, 16, 6]","[2.57, 3.41, 2.58, 3.43, 2.82, 3.73, 2.78, 3.68, 3.05, 4.05]","[2.58, 3.42, 22.36, 29.64, 9.03, 11.97, 6.88, 9.12, 2.58, 3.42]","[0.36, 3.11, 1.26, 0.96, 0.36, 0.36, 3.13, 1.26, 0.96, 0.36, 0.39, 3.41, 1.38, 1.05, 0.39, 0.39, 3.36, 1.36, 1.03, 0.39, 0.43, 3.69, 1.49, 1.14, 0.43]",2.57,3.41,2.58,3.43,2.82,3.73,2.78,3.68,3.05,4.05,2.58,3.42,22.36,29.64,9.03,11.97,6.88,9.12,2.58,3.42,0.36,3.13,1.38,1.03,0.43
167651,극한직업,15986.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.16,9.24,"[9.42, 9.32, 9.22, 9.09, 8.82]","[45, 55]","[2, 38, 30, 21, 8]","[4.24, 5.18, 4.19, 5.13, 4.15, 5.07, 4.09, 5.0, 3.97, 4.85]","[0.9, 1.1, 17.1, 20.9, 13.5, 16.5, 9.45, 11.55, 3.6, 4.4]","[0.19, 3.58, 2.83, 1.98, 0.75, 0.19, 3.54, 2.8, 1.96, 0.75, 0.18, 3.5, 2.77, 1.94, 0.74, 0.18, 3.45, 2.73, 1.91, 0.73, 0.18, 3.35, 2.65, 1.85, 0.71]",4.24,5.18,4.19,5.13,4.15,5.07,4.09,5.0,3.97,4.85,0.9,1.1,17.1,20.9,13.5,16.5,9.45,11.55,3.6,4.4,0.19,3.54,2.77,1.91,0.71
164192,국가부도의 날,2927.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.57,8.88,"[9.19, 8.93, 8.61, 8.4, 8.06]","[55, 45]","[2, 50, 26, 15, 7]","[5.05, 4.14, 4.91, 4.02, 4.74, 3.87, 4.62, 3.78, 4.43, 3.63]","[1.1, 0.9, 27.5, 22.5, 14.3, 11.7, 8.25, 6.75, 3.85, 3.15]","[0.18, 4.59, 2.39, 1.38, 0.64, 0.18, 4.46, 2.32, 1.34, 0.63, 0.17, 4.3, 2.24, 1.29, 0.6, 0.17, 4.2, 2.18, 1.26, 0.59, 0.16, 4.03, 2.1, 1.21, 0.56]",5.05,4.14,4.91,4.02,4.74,3.87,4.62,3.78,4.43,3.63,1.1,0.9,27.5,22.5,14.3,11.7,8.25,6.75,3.85,3.15,0.18,4.46,2.24,1.26,0.56
143422,소통과 거짓말,4.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,7.0,9.0,"[8.0, 8.0, 10.0, 0.0, 0.0]","[25, 75]","[25, 50, 25, 0, 0]","[2.0, 6.0, 2.0, 6.0, 2.5, 7.5, 0.0, 0.0, 0.0, 0.0]","[6.25, 18.75, 12.5, 37.5, 6.25, 18.75, 0.0, 0.0, 0.0, 0.0]","[2.0, 4.0, 2.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 2.5, 5.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,6.0,2.0,6.0,2.5,7.5,0.0,0.0,0.0,0.0,6.25,18.75,12.5,37.5,6.25,18.75,0.0,0.0,0.0,0.0,2.0,4.0,2.5,0.0,0.0
130811,클로버,4.0,이 영화는 20대 여성이 좋아하는 OST가 뛰어난 영화입니다.,0.0,8.5,"[10.0, 10.0, 0.0, 4.0, 0.0]","[100, 9]","[50, 25, 0, 25, 0]","[10.0, 0.9, 10.0, 0.9, 0.0, 0.0, 4.0, 0.36, 0.0, 0.0]","[50.0, 4.5, 25.0, 2.25, 0.0, 0.0, 25.0, 2.25, 0.0, 0.0]","[5.0, 2.5, 0.0, 2.5, 0.0, 5.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.0,0.9,10.0,0.9,0.0,0.0,4.0,0.36,0.0,0.0,50.0,4.5,25.0,2.25,0.0,0.0,25.0,2.25,0.0,0.0,5.0,2.5,0.0,1.0,0.0
168749,죄 많은 소녀,174.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.19,8.48,"[8.24, 8.42, 8.16, 8.43, 9.33]","[41, 59]","[10, 63, 21, 4, 2]","[3.38, 4.86, 3.45, 4.97, 3.35, 4.81, 3.46, 4.97, 3.83, 5.5]","[4.1, 5.9, 25.83, 37.17, 8.61, 12.39, 1.64, 2.36, 0.82, 1.18]","[0.82, 5.19, 1.73, 0.33, 0.16, 0.84, 5.3, 1.77, 0.34, 0.17, 0.82, 5.14, 1.71, 0.33, 0.16, 0.84, 5.31, 1.77, 0.34, 0.17, 0.93, 5.88, 1.96, 0.37, 0.19]",3.38,4.86,3.45,4.97,3.35,4.81,3.46,4.97,3.83,5.5,4.1,5.9,25.83,37.17,8.61,12.39,1.64,2.36,0.82,1.18,0.82,5.3,1.71,0.34,0.19
142210,역모 - 반란의 시대,18.0,이 영화는 20대 여성이 좋아하는 연출이 뛰어난 영화입니다.,5.67,7.17,"[0.0, 5.71, 6.67, 7.0, 8.33]","[33, 67]","[0, 39, 17, 28, 17]","[0.0, 0.0, 1.88, 3.83, 2.2, 4.47, 2.31, 4.69, 2.75, 5.58]","[0.0, 0.0, 12.87, 26.13, 5.61, 11.39, 9.24, 18.76, 5.61, 11.39]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.23, 0.97, 1.6, 0.97, 0.0, 2.6, 1.13, 1.87, 1.13, 0.0, 2.73, 1.19, 1.96, 1.19, 0.0, 3.25, 1.42, 2.33, 1.42]",0.0,0.0,1.88,3.83,2.2,4.47,2.31,4.69,2.75,5.58,0.0,0.0,12.87,26.13,5.61,11.39,9.24,18.76,5.61,11.39,0.0,2.23,1.13,1.96,1.42
159892,탐정: 리턴즈,3681.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.94,9.03,"[9.41, 9.14, 8.84, 8.78, 8.75]","[44, 56]","[3, 51, 24, 16, 6]","[4.14, 5.27, 4.02, 5.12, 3.89, 4.95, 3.86, 4.92, 3.85, 4.9]","[1.32, 1.68, 22.44, 28.56, 10.56, 13.44, 7.04, 8.96, 2.64, 3.36]","[0.28, 4.8, 2.26, 1.51, 0.56, 0.27, 4.66, 2.19, 1.46, 0.55, 0.27, 4.51, 2.12, 1.41, 0.53, 0.26, 4.48, 2.11, 1.4, 0.53, 0.26, 4.46, 2.1, 1.4, 0.53]",4.14,5.27,4.02,5.12,3.89,4.95,3.86,4.92,3.85,4.9,1.32,1.68,22.44,28.56,10.56,13.44,7.04,8.96,2.64,3.36,0.28,4.66,2.12,1.4,0.53
164150,12피트,1.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,0.0,2.0,"[0.0, 0.0, 0.0, 2.0, 0.0]","[100, 19]","[0, 0, 0, 100, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.38, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 19.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
158191,1987,10178.0,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.25,9.38,"[9.45, 9.28, 9.3, 9.39, 9.3]","[50, 50]","[4, 44, 26, 18, 7]","[4.72, 4.72, 4.64, 4.64, 4.65, 4.65, 4.7, 4.7, 4.65, 4.65]","[2.0, 2.0, 22.0, 22.0, 13.0, 13.0, 9.0, 9.0, 3.5, 3.5]","[0.38, 4.16, 2.46, 1.7, 0.66, 0.37, 4.08, 2.41, 1.67, 0.65, 0.37, 4.09, 2.42, 1.67, 0.65, 0.38, 4.13, 2.44, 1.69, 0.66, 0.37, 4.09, 2.42, 1.67, 0.65]",4.72,4.72,4.64,4.64,4.65,4.65,4.7,4.7,4.65,4.65,2.0,2.0,22.0,22.0,13.0,13.0,9.0,9.0,3.5,3.5,0.38,4.08,2.42,1.69,0.65
142255,걸 온 더 트레인,81.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.92,7.76,"[8.0, 7.28, 7.38, 7.5, 7.8]","[44, 56]","[1, 48, 30, 15, 6]","[3.52, 4.48, 3.2, 4.08, 3.25, 4.13, 3.3, 4.2, 3.43, 4.37]","[0.44, 0.56, 21.12, 26.88, 13.2, 16.8, 6.6, 8.4, 2.64, 3.36]","[0.08, 3.84, 2.4, 1.2, 0.48, 0.07, 3.49, 2.18, 1.09, 0.44, 0.07, 3.54, 2.21, 1.11, 0.44, 0.07, 3.6, 2.25, 1.12, 0.45, 0.08, 3.74, 2.34, 1.17, 0.47]",3.52,4.48,3.2,4.08,3.25,4.13,3.3,4.2,3.43,4.37,0.44,0.56,21.12,26.88,13.2,16.8,6.6,8.4,2.64,3.36,0.08,3.49,2.21,1.12,0.47
179338,10년,1.0,이 영화는 40대 여성이 좋아하는 연출이 뛰어난 영화입니다.,0.0,9.0,"[0.0, 0.0, 0.0, 9.0, 0.0]","[100, 30]","[0, 0, 0, 100, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 2.7, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 30.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
